",""x"""
1,8.9934302169571
3,9.0065697830429
5,12.0065697830429
7,3.24396251299217
8,2.24396251299217
9,2.32227412234376
14,4.88962787943114
22,4.63729833196249
23,2.36090441660392
24,0.494494809027231
28,9.46404610366898
30,13.4271935816212
36,11.2549728949377
41,11.073871010449
44,5.99555940109736
47,0.00444059890264015
48,4.00444059890264
50,11.0044405989026
52,6.29037770404235
54,5.70962229595765
58,5.92826192056627
59,5.76242557135113
60,1.22553250509329
65,1.50550893784774
71,3.88782688112259
72,3.74502335818733
73,7.01082868324594
74,8.11217311887741
76,14.073867263574
77,1.76029638721088
80,6.6773782126033
82,5.57280079806637
85,14.2549803886876
88,14.2549803886876
89,14.2549803886876
93,13.5055145581602
96,7.92184498981432
98,9.22835380438698
99,7.19150128233917
102,2.71176084728533
103,9.92826941431621
108,12.6040320741855
109,12.6040320741855
111,12.3921300724106
113,10.8722219193924
116,9.87222191939237
118,7.87222191939237
119,6.87222191939237
123,5.87222191939237
126,5.87222191939237
127,4.87222191939237
128,4.87222191939237
131,3.87222191939237
132,3.87222191939237
133,3.87222191939237
134,3.87222191939237
135,3.87222191939237
136,3.87222191939237
137,3.87222191939237
138,2.87222191939237
147,2.87222191939237
152,0.872221919392368
153,0.872221919392368
154,0.872221919392368
157,0.127778080607632
159,0.127778080607632
162,0.127778080607632
163,6.26136847303094
165,13.4272048222461
171,4.25498413556261
175,6.1029674821154
179,6.87724578457257
180,7.87724578457257
181,7.87724578457257
183,9.87724578457257
187,9.87724578457257
188,10.8772457845726
189,10.8772457845726
190,10.8772457845726
192,10.8772457845726
194,11.8772457845726
198,12.8772457845726
200,14.8772457845726
202,15.3732865114625
216,8.3732865114625
217,7.3732865114625
219,3.99341710289472
227,1.24394939892978
228,1.75605060107022
231,10.7560506010702
233,14.7560506010702
234,8.49448169496485
235,4.50551830503515
237,6.50551830503515
238,7.50551830503515
240,10.5055183050352
242,8.25498600900009
247,11.995546287035
251,10.0065847705428
254,13.9934133560197
255,13.9934133560197
257,11.9934133560197
260,8.99341335601975
262,4.08554466113927
264,4.22834818407453
268,1.07172496537134
270,2.00658664398025
271,2.76243868541352
276,9.00658664398025
281,11.3222572614064
285,5.32225726140641
297,4.75605434794519
299,7.67774273859359
300,7.67774273859359
301,8.67774273859359
302,8.75605434794519
313,8.73862590665661
317,3.49447794808988
321,1.49447794808988
322,0.572789557441473
325,0.505522051910122
326,6.26137409334339
328,6.50552205191012
333,13.5055220519101
334,11.9891582026917
335,10.7450102441249
338,7.82332185347654
339,7.74501024412494
341,3.74501024412494
343,1.74501024412494
345,3.17667814652346
350,10.2549897558751
352,10.1121862329398
356,11.2549897558751
359,14.1766781465235
364,13.99554254016
368,8.23969049872674
369,7.13834606309527
370,7.0738541495116
371,6.94487032234427
372,5.99554254016001
373,5.99554254016001
375,1.99554254016001
376,0.930752415744376
384,7.00445745983999
386,8.00445745983999
387,8.00445745983999
398,8.14478547509702
409,6.98915632925419
410,1.74500837068746
411,0.0108436707458086
413,5.25499162931254
419,6.99554066672252
420,6.99554066672252
423,5.92614772392588
424,5.76031137471075
425,2.72940902926969
427,9.50552579878509
429,10.2705909707303
430,13.2383450139385
434,10.9799413253048
436,9.82331810660157
437,7.97994132530476
438,7.82331810660157
439,3.88781002018523
441,3.25499350275003
444,12.0200586746952
445,13.0738504026366
451,0.769526378660181
454,10.004461206715
462,11.2439400317424
467,10.677748358906
468,10.677748358906
469,10.7560599682576
470,12.7560599682576
476,6.49447232777743
477,6.57278393712902
479,2.57278393712902
481,1.42721606287098
482,1.50552767222257
489,6.50552767222257
490,7.41800293235903
491,7.50552767222257
492,7.42721606287098
493,8.50552767222257
494,9.50552767222257
495,10.4133963671031
496,10.427216062871
499,14.9891525823792
505,9.74500462381249
508,8.51191388312839
511,0.50553141909754
512,1.42721980974595
513,1.42721980974595
514,1.64372837677682
516,1.16925215541129
519,3.42721980974595
520,5.64372837677682
524,9.40879354872204
525,9.49171172332961
526,9.49171172332961
528,10.1646455901553
531,14.837132182057
534,9.82331248628912
547,7.23967363778938
548,2.23754258021165
554,10.2627045906318
560,13.1448079563468
561,13.0066109986675
563,10.2550159839998
564,11.2550159839998
567,13.0108680254331
570,12.9955163120352
572,8.07382792138683
573,7.07382792138683
577,5.07382792138683
578,4.07382792138683
583,7.8616801650295
584,7.92617207861317
585,7.8616801650295
586,7.76033572939803
589,9.8616801650295
592,11.9261720786132
603,9.99338338102001
604,9.99338338102001
605,9.99338338102001
608,1.00661661897999
609,2.00661661897999
610,10.2439156770551
619,10.4944479730901
620,6.49444797309014
621,4.49444797309014
626,9.50555202690986
628,9.50555202690986
630,11.7449802691252
631,8.7449802691252
638,10.2550197308748
639,10.2550197308748
641,10.9955125651603
643,7.99551256516027
645,4.99551256516027
647,2.00448743483973
648,3.00448743483973
650,9.00448743483973
657,1.0044911817147
658,6.82944170198761
659,6.9261795723631
660,9.75608994325738
662,9.49444235277769
666,0.255025351187246
670,9.36367887996052
680,11.0066259861674
681,12.0066259861674
682,13.2439063098677
683,2.24390630986766
685,12.7560936901323
689,14.4944386059027
691,12.4944386059027
695,7.49443860590272
696,2.49443860590272
698,10.5055613940973
706,10.9955031979728
708,6.99550319797285
718,4.51108522127679
719,10.7560955635698
723,10.72937156052
726,1.49443673246524
727,1.49443673246524
732,1.42725165818317
738,5.42725165818317
744,14.7449690285003
746,4.82328063785189
752,4.1582931011242
754,6.2550309714997
758,8.20740332631026
760,8.07381293388696
763,7.74496528162533
773,5.22830134813744
776,4.24389881611772
782,9.57274272150438
783,5.49443111215279
784,4.57274272150438
785,0.261420929280479
787,2.42725727849562
793,11.4180441479837
794,9.74496340818785
796,8.74496340818785
805,2.74496153475037
808,12.9933627732077
809,12.0716743825593
811,11.1361662961429
816,4.00663722679231
820,12.9098993564168
821,13.2438950692428
826,0.488043027809489
829,2.67779332140565
841,10.4944273652778
843,6.57273897462941
844,6.49442736527782
851,0.572738974629415
852,0.572738974629415
856,6.42726102537059
859,10.5239988957461
863,14.8232712706645
864,14.9891076198796
865,13.8232712706645
869,9.82327127066448
872,7.98910761987962
884,7.25504033868712
887,9.17672872933552
889,14.273466599711
891,15.2550403386871
893,15.2396399159147
898,8.99549195734795
899,8.07841013195552
917,11.8183095466056
919,2.9979655915887
920,6.86383745073202
923,1.31759636646341
930,8.75610867763221
932,14.6777970682806
938,11.471390792123
939,11.3193741386758
